ID,учебник,тематика,название,текст
37,Живем и учимся в России,общая,-,"Дмитрий Иванович Менделеев — великий русский учёный-химик. Он родился в 1834 году в Сибири, в Тобольске. Он хорошо учился в гимназии, много читал. Особенно он интересовался физикой, математикой, историей. В 16 лет Менделеев с отличием окончил гимназию и поехал в Петербург продолжать учёбу. Он поступил в Педагогический институт на химический факультет. Дмитрий Менделеев серьёзно занимался химией, много работал в лаборатории. Через 5 лет он с отличием окончил институт, поехал в Одессу и начал работать в гимназии учителем химии. Но молодой учитель продолжал серьёзно заниматься наукой. В Одессе он написал научную работу — свою первую диссертацию. Ему было 22 года. Через несколько месяцев он написал свою вторую диссертацию. Это был необычный случай в науке. Дмитрий Иванович Менделеев стал известным учёным. В 1865 году его пригласили в Петербург. Он стал профессором Петербургского университета. Ему был 31 год. Ещё когда Менделеев был студентом, он думал, как объединить химические элементы в единую систему. Над этой проблемой он работал всю жизнь. Однажды после долгой трудной работы учёный устал и не заметил, как заснул. Во сне он увидел свою систему химических элементов в стройном логическом виде. Проснувшись, Менделеев внёс в таблицу некоторые изменения, написал название и поставил дату: «17 февраля 1869 года». Так появилась периодическая таблица химических элементов. "
38,Живем и учимся в России,общая,-,"Меня зовут Иван. Я родился в городе Новгороде. Мой родители и сейчас живут в Новгороде. А я приехал в Петербург и поступил в Институт живописи, скульптуры и архитектуры. Я очень люблю рисовать, люблю живопись, поэтому я с удовольствием учусь в этом институте. Меня очень интересуют русские художники XX века. Но у меня есть ещё одно увлечение. Я очень люблю путешествовать. Путешествия — это новые места, новые впечатления. Мне нравятся старинные русские города, такие как Суздаль, Ярославль. Мне нравятся старинные здания — памятники истории и архитектуры. Я решил учиться в Петербурге, потому что это очень красивый город. Путешествия — это не только новые места, но и новые люди, новые знакомства. Когда я приехал в Петербург, чтобы поступить в Институт живописи, скульптуры и архитектуры, я познакомился со студентом из Германии, Хансом. Мы познакомились в общежитии. Теперь он мой хороший друг, и мы часто вместе проводим свободное время. Каждый год летом я езжу домой, в Новгород, к своим родителям. В этом году я хочу, чтобы со мной поехал Ханс."
39,Русский язык,общая,Шаляпин,"Великий русский оперный певец Фёдор Иванович Шаляпин после революции 1917 года уехал из России. Он жил в разных городах и странах, выступал в лучших театрах Европы, Азии и Америки. Все годы, прожитые за границей, Шаляпин возил с собой большой портфель, который никому не доверял и почти никогда не выпускал из рук. В этом портфеле вместе с самыми необходимыми вещами лежал небольшой ящичек. О том, что в нём на ходилось, не знал никто: ни люди, работавшие с Шаляпиным, ни даже его родные. Они всегда удивлялись тому, что Шаляпин, приезжая в новый город и входя в гостиничный номер, прежде всего осторожно вынимал из портфеля ящик и ставил его под кровать. Никто не спрашивал Шаляпина об этом ящике. Многие люди помнили, что однажды певец рассердился, когда администратор одной из гостиниц взял этот ящик и попытался перенести его в угол комнаты. Зная тяжёлый характер артиста, его родные, друзья и знакомые боялись говорить с ним о том, что находится в ящике. Только после смерти великого певца ящик был открыт, и все с удивлением узнали, что в нём была земля. Русская земля. Эту землю Шаляпин взял перед отъездом за границу с могилы своей матери."
40,Живем и учимся в России,общая,-,"Москва — древний русский город, которому более 800 (восьмисот) лет. В исторических документах Москва впервые упоминается в 1147 году, когда князь Юрий Долгорукий пригласил в Москву Черниговского князя Святослава, этот год считается датой основания Москвы, а Юрий Долгорукий — её основателем. Москва занимала удобное географическое положение, так как находилась на пересечении важных транспортных — водных и сухопутных — путей Древней Руси. К тому же леса, которые окружали Москву, защищали её от врагов. Всё это имело большое значение для будущей столицы России. Москва расположена на семи холмах. На одном из холмов, Боровицком, строился Кремль — центральное сооружение города. На территории современного Кремля сохранились замечательные архитектурные памятники шести веков. Это прекрасные дворцы и соборы. Кремль окружают 22 башни. На пяти из них горят рубиновые звёзды. Снизу они кажутся не очень большими. Но эти звёзды выше человеческого роста. Вечером они светятся особенно красиво. В центре Москвы, рядом с Кремлем, находится Красная площадь. Её архитектурный ансамбль — один из красивейших в мире. В XVI веке на площади был построен храм Василия Блаженного. После окончания строительства собора москвичи, удивлённые его красотой, стали называть площадь Красной, то есть красивой. Современная Москва — это многомиллионный город, который входит в число крупнейших городов мира. Его население — более 13 (тринадцати) миллионов человек. Москва растёт и развивается: здесь восстанавливаются старые здания в центре и строятся новые на окраинах. Несколько лет назад на Поклонной горе был сооружён памятник в честь победы в Великой Отечественной войне. А в центре Москвы на народные деньги был заново построен храм Христа Спасителя. Прекрасны улицы столицы: широкая и многолюдная Тверская — центральная магистраль города с современными магазинами, кафе и ресторанами — и тихая пешеходная улица Арбат. В Москве кипит жизнь, здесь происходит много интересных событий. Москва, ставшая столицей русского государства еще в XV кёке, и в настоящее время является политическим, административным и деловым центром страны. Современный Кремль — сердце Москвы и всей России. Здесь работают Президент и Совет Федерации, здесь происходят важные международные события. Москва всегда была центром культурной жизни России. В московских монастырях трудились учёные, писатели, художники, там создавались и хранились первые рукописные книги. В Москве были открыты первые в России учебные заведения: Славяно-греко-латинская академия, Медицинская школа А Московский государственный университет, основанный в 1755 году М.В Ломоносовым, и в настоящее время является лучшим вузом России. Современная Москва — крупнейший центр образования и науки. В столице находится более 80 (восьмидесяти) вузов, Академия наук, около 1000 (тысячи) научно-исследовательских институтов, а также одна из крупнейших в мире Российская государственная библиотека. Каждый, кто приезжает в столицу, стремится побывать в ее театрах, музеях, соборах, познакомиться с историческими памятниками. В Москве находится сокровищница русского национального искусства — Третьяковская галерея, Музей изобразительных искусств имени А.С. Пушкина, множество литературных музеев, связанных с именами русских писателей: Л.Н. Толстого, А.П. Чехова и других. Москвичи и гости столицы имеют счастливую возможность посетить замечательные драматические и музыкальные театры и прежде всего Большой театр, слава о котором облетела весь мир. Москва — крупный индустриальный центр. Около 30% (тридцати процентов) населения города занято в сфере промышленного производства. В Москве работают предприятия металлургической, химической, электронной и других отраслей промышленности. Москва — центр международного туризма. Тысячи людей со всего света приезжают в Москву, чтобы посмотреть древнюю и современную столицу России. Москва занимает большую площадь — около тысячи квадратных километров, и, конечно, метро — это главный вид транспорта в Москве. Московское метро считается самым красивым в мире: его станции — это прекрасные дворцы под землей. Украшением города является Москва-река — водная магистраль столицы. Через систему рек и каналов Москва-река соединяет юг и север России. В разные годы в Москве жили и создавали свой произведения великие русские писатели: А.С. Пушкин, М.Ю. Лермонтов, Л.Н. Толстой и другие. Для многих из них Москва была любимым городом. М.Ю. Лермонтов писал: Москва! Москва! Люблю тебя как сын, Как русский, — сильно, пламенно и нежно! "
41,Русский язык,общая,-,"Одна из проблем, волнующих современных учёных, — это проблема будущего Земли. Население Земли постоянно ра­стёт. Уже сейчас на нашей планете живёт шесть миллиардов человек. А что будет дальше? Что будет с нашей планетой в XXI веке? На сколько лет хватит природных ресурсов Земли? Вот что говорят об этом известные российские учёные: Профессор В. Урланис. Хотя население Земли будет продолжать расти, темпы его роста будут замедляться, а по­том наступит стабилизация. Уже сейчас в развитых странах снижается рождаемость. Эти процессы будут происходить и в других странах. Академик А. Урсул. Не нужно бояться смерти людей от голода. Пищевых ресурсов на Земле достаточно, чтобы про­кормить 100 миллиардов человек. Профессор В. Степанов. Нам поможет выжить Мировой океан. Сейчас во многих странах людей кормят фермеры. В XXI веке появится морское фермерство. Морские фермеры не бу­дут просто ловить рыбу. Они будут специально выращивать её. А вот что говорит о будущем Земли академик Игорь Петрянов: — Третьего тысячелетия у людей не будет. Человечество подошло к краю гибели. Если оно не изменит структуру и характер промышленного производства, оно погибнет. Объём промышленного производства, объём строительства, энер­гетики, транспорта каждые 8—10 лет увеличивается в два раза. Общество, чтобы существовать, должно строить столько же заводов, фабрик, железных дорог, электростанцйй, сколько уже было построено 8 — 10 лет назад. С начала XX века загряз­нение атмосферы выросло более чем в 1000 раз. Пройдёт ещё несколько десятилетий, и жить на Земле будет нельзя, потому что нечем будет дышать. Самой главной наукой буду­щего должна стать наука о спасении человечества от гибели. Перед людьми будет стоять одна задача — как сохранить жизнь на Земле. Как её решить? Только одним путём — пере­стройкой промышленного производства на основе экологиче­ски безвредных технологий. Решение этой задачи невозмож­но без перестройки человеческого сознания."
42,Русский язык,общая,-,"Не всё то, что мы видим, мы можем объяснить. Так, иногда люди видят в небе предметы, которые движутся с большой скоростью. Это не созданные человеком летательные аппараты. Люди называют эти предметы «летающими тарелками», а учёные — неопознанными летающими объектами (НЛО). Современная наука не может объяснить, что такое НЛО. Одни учёные считают, что НЛО — это физические явления, о которых мы пока мало знаем. Другие считают, что это летательные аппараты, в которых находятся инопланетяне — представители других миров, внеземных цивилизаций. И эти инопланетяне изучают жизнь на Земле и влияют на поведение людей. Некоторые говорят, что они видели этих инопланетян и даже побывали внутри летающих тарелок. Специалисты по проблеме НЛО утверждают, что в июне 1947 года в американском штате Нью-Мексико потерпел катастрофу неопознанный летающий объект. Около сгоревшего космического корабля были найдены мёртвые тела четырёх существ неземного происхождения — инопланетян. Хотя американцы засекретили это событие, о нём писали газеты и был создан фильм. И всё же многие серьёзные учёные не верят в эту историю и считают её мистификацией. "
43,Русский язык,общая,-,"Известный учёный М. В. Ломоносов рассказывал, что однажды во сне он увидел своего отца, лежащего мёртвым после кораблекрушения на необитаемом маленьком острове в Белом море. У этого острова не было названия, но Ломоносов хорошо помнил его, так как в юности вместе со своим отцом он уже однажды был там. Этот сон взволновал учёного, и он стал расспрашивать об отце у всех купцов, прибывающих в Петербург с Белого моря. Наконец один из них рассказал Ломоносову, что его отец прошлой осенью отправился ловить рыбу и с тех пор не возвращался. Ломоносов был поражён этим известием. Он дал себе слово найти и похоронить тело своего несчастного отца. Но в то время у него было много работы, и поэтому он не мог уехать из Петербурга. Тогда он послал своему брату письмо, в котором просил его найти тело отца. Он подробно описал местоположение острова и то место на острове, где должно было находиться тело его отца. В то же лето его просьба была выполнена. Рыбаки приплыли на этот остров, нашли тело отца Ломоносова и похоронили его. Многие люди видят во сне события, в которых они сами не принимали участия или которые произойдут в будущем. Такие сны называют «вещими». Современная наука пока не может объяснить явление вещего сна, потому что его невозможно вызвать преднамеренно и изучать в лабораторных условиях."
44,Русский язык,общая,-,"Когда известный русский физиолог Иван Петрович Павлов только начинал свою научную деятельность, у него никогда не было денег. Все свои деньги он тратил на то, чтобы ставить опыты. Товарищи молодого учёного собрали немного денег, чтобы Павлов купил себе новый костюм. Костюм, который он носил, был совсем старым. — Спасибо, друзья! — сказал Павлов. На следующий день он пришел в лабораторию и привёл... несколько собак. — Вы даже представить себе не можете, как я рад. Я очень удачно использовал эти деньги. Теперь мы будем продолжать наши опыты. — А костюм? — спросили удивлённые друзья. — Он ещё совсем хорош. Я ещё долго смогу носить его. Однажды журналист спросил известного физика Альберта Эйнштейна, записывает ли он свои великие мысли и если записывает, то куда: в блокнот, в записную книжку или в специальную картотеку. Эйнштейн посмотрел на большой блокнот журналиста и сказал: — Милый мой, настоящие мысли приходят в голову так редко, что их нетрудно и запомнить. Один студент, прогульщик и двоечник, сдавал второй раз экзамен известному немецкому физику Вильгельму Рентгену. Учёный выслушал студента, а затем спросил: — Кто вам читал лекции? Студент перечислил ряд фамилий. — Ну, видите, сегодня дела у вас идут намного лучше, чем в прошлый раз. Вы уже знаете фамилии профессоров, лекции которых должны были слушать. Однажды русский учёный, основатель физической химии Николай Николаевич Бекетов работал в своём кабинете. Вдруг к нему вбежал испуганный слуга и крикнул: — В вашей библиотеке воры! г Бекетов оторвался от своих бумаг и спросил: — Что же они читают? Известный американский изобретатель Томас Алва Эдисон несколько недель с утра до вечера проводил в своей лаборатории. Наконец жена ему сказала: — Завтра воскресенье. Ты должен обязательно отдохнуть. Реши, где ты будешь отдыхать. — Хорошо,— сказал Эдисон. — Я уже решил. На следующий день жена увидела, что он снова в лаборатории. Однажды в приёмную ректора университета, в котором работал Альберт Эйнштейн, позвонили по телефону. Секретарь ректора взяла трубку. — Здравствуйте, — услышала она. — Вы не могли бы мне дать домашний адрес профессора Альберта Эйнштейна? — Нет, — ответила она. — Профессор Эйнштейн не разрешил никому давать свой адрес. — Видите ли, это я, Эйнштейн, — ответили в трубке. — Дело в том, что я пошёл гулять по городу и заблудился. Я не знаю, как вернуться домой, потому что я забыл свой адрес."
45,Русский язык,общая,-,"Люди всегда мечтали побывать в космосе. Легенды и сказки всех народов рассказывают о полётах к Луне, к Солнцу, к звёздам, Многие писатели-фантасты описывали космические путешествия. Но никто не знал, как осуществить космический полёт. Только в начале нашего века Константин Эдуардович Циолковский, учитель математики и физики из Калуги, доказал, что единственный летательный аппарат, на котором человек может полететь в космос, — это ракета. В 30-е годы в Советском Союзе начались исследования в области ракетной техники. Их проводил большой коллектив учёных и инженеров, который возглавляли Ф. А. Цандер и С. П. Королёв. 4 октября 1957 года считается днём начала космической эры. В этот день в СССР был запущен первый в истории искусственный спутник Земли. Он весил всего 83,6 кг (восемьдесят три целых шесть десятых килограмма). В спутнике находились приборы, которые передавали на Землю научную информацию о космосе. 12 апреля 1961 года в космос ушёл корабль «Восток» с первым в истории человечества лётчикомкосмонавтом Юрием Алексеевичем Гагариным. Теперь этот день отмечают в России как День космонавтики. Полёт Гагарина доказал, что человек может жить и работать в космосе. Перед учёными встала задача улучшить космические корабли, создать космические станции, чтобы человек в течение долгого времени мог работать в космосе. В наше время космонавтика стала важнейшей отраслью науки и техники. Каждый новый полет — это новая программа научных экспериментов. Создаются космические станции, на которых люди могут жить и работать в течение многих месяцев. В космосе находятся десятки спутников, которые играют большую роль в жизни всей Земли. Через спутники осуществляется телефонная ителеграфная связь между странами, и континентами. Развивается спутниковое телевидение. Спутники помогают предсказывать погоду, искать и находить полезные ископаемые, изучать природу Земли. Космические исследования оказывают большое влияние на физику, астрономию, геологию, медицину, машиностроение, металлургию, электронику, связь."
46,Русский язык,общая,На даче,"«Я вас люблю. Вы моя жизнь, счастье — всё! Простите за признание, но я не могу больше молчать. Будьте сегодня в 8 часов вечера в старой беседке. Имя своё не подписываю, но я молода, хороша собой, что же вам ещё?» Дачник Павел Иванович, читая письмо, от удивления пожимал плечами. — Я женатый человек, и вдруг такое странное, такое глупое письмо? Кто его написал? «Странно, думал он. — «Я вас люблю». Когда же она успела полюбить, не познакомившись, не узнав, какой я человек? Наверное, она очень молода и неопытна, если способна полюбить так быстро. Но кто она?» Вдруг Павел Иванович вспомнил, что вчера и позавчера, гуляя по саду, он несколько раз встречал молоденькую блондинку в голубом платье. Блондинка часто смотрела на него, а когда он сел на скамейку, она села рядом с ним. «Она?» — подумал Павел Иванович. После обеда, отдыхая в удобном кресле, он Думал: «А она надеется, Что я приду. Может быть, пойти из любопытства?» Быстро поднявшись, Павел Иванович начал одеваться. — Куда ты собираешься? — спросила жена, заметив, что он надевает чистую рубашку и новый галстук. — Хочу погулять немного, голова болит. В 8 часов он вышел из дома. В конце аллеи была видна старая беседка. У него вдруг забилось сердце. В беседке он увидел какого-то человека. Но это был мужчина. Он узнал в нём брата своей жены — студента Митю, живущего у них на даче. Две минуты прошли в молчании. — Извините меня, Павел Иванович, — начал Митя, — но я прошу вас оставить меня одного. Я обдумываю свою диссертацию, и ваше присутствие мне мешает. — А ты иди куда-нибудь в тёмную аллею, — сказал Павел Иванович, — на свежем воздухе легче думать. А я хочу тут на скамейке поспать, здесь не так жарко. — Диссертация важнее, — сказал Митя..„Наступило молчание. Павел Иванович опять заговорил: — Я прошу раз в жизни: уйди! Митя не уходил. — Послушай, Митя, прошу тебя в последний раз: покажи, что ты умный, гуманный и образованный человек. Митя, пожав плечами, тихо ответил: — Я сказал, что не выйду, значит, не выйду. В это время у входа в беседку они увидели женское лицо. Увидев их, оно исчезло. Подождав немного, Павел Иванович встал и сказал Мите: — Между нами всё кончено. — Очень рад, — сказал Митя, тоже вставая. — Знайте, что вы мне сейчас сделали такую гадость, которую я вам до самой смерти не прощу. За ужином они молча смотрели в свои тарелки. Они ненавидели друг друга. Жена Павла Ивановича улыбалась. — Какое письмо ты получил сегодня утром? — спросила она. — Никакого, — ответил Павел Иванович. — Я знаю, что получил. Это письмо я тебе написала. Честное слово, я. Нам нужно было пол вымыть, но как заставить вас уйти из дома? Только так можно. Чтобы тебе не скучно было, я и Мите такое письмо послала. Митя, ты был в беседке? Митя улыбнулся и перестал смотреть с ненавистью на Павла Ивановича."
47,Русский язык,общая,На колоннаде Исаакиевского собора,"Какой прекрасный вид! Весь Петербург как на ладони. — Да, с колоннады Исаакиевского собора можно увидеть почти весь город. А что это там, на другом берегу Невы? — Это здания Университета. Рядом — Академия наук, а справа от неё — первый русский музей Кунсткамера. — Смотрите, там за мостом Петропавловская крепость. — Да, это Петропавловская крепость, а за ней мусульманский храм — мечеть. Это Адмиралтейство, дальше — Зимний дворец. — А что это перед нами? — Это Исаакиевская площадь. В центре площади — памятник императору Николаю Первому, созданный известным скульптором Петром Карловичем Клодтом. А прямо напротив Мариинский дворец. Там проходят заседания Законодательного собрания Санкт-Петербурга. Перед дворцом находится Синий мост. — Я слышал, что Синий мост — самый широкий мост в Санкт-Петербурге. Его ширина 100 метров. — Да, в городе нет мостов шире, чем этот. Но его ширина не 100 метров, а 97,3 (девяносто семь целых тридесятых) метра. — Скажите, отсюда далеко до Русского музея? —т Минут десять — пятнадцать, если идти пешком. Сейчас мы спустимся с колоннады и пойдём по Малой Морской улице к Невскому проспекту, а потом по нему до Гостиного двора. Там я покажу вам, где находится Русский музей. — А далеко отсюда до Пискарёвского кладбища? — Да, около часа на метро и на автобусе. Давайте завтра поедем туда. Я приду к вам в 10 часов утра. Согласны? — Да, конечно. Большое спасибо."
48,Русский язык,общая,Состязание,"В старые времена в одном городе проходило состязание художников. Каждый из них должен был нарисовать картину, изображающую красоту женщины. Художника, чья картина будет лучшей, должны будут наградить лавровым венком. В городе никто не сомневался, что победителем будет известный всему миру старый художник. И только он сам сомневался в своей победе, потому что знал силу таланта одного своего ученика, молодого художника. — Ты будешь участвовать в состязании? — спросил он своего ученика. — Да, — ответил юноша, — я знаю, что борьба будет трудной, что надо будет бороться с тобой, учитель. Но тот не художник, кто боится борьбы. — Куда же ты пойдёшь? Где ты собираешься найти самую совершенную красоту? Юноша улыбнулся и сказал: — Я уже нашёл её. Вот она, — и он показал на Зорьку, свою невесту, которая стояла недалеко от них. — Сын мой, твоя невеста мила, я не спорю, но подумай, разве это та красота, которая должна удивить мир? — Да, именно та. Нет в мире и не может быть красоты, лучше красоты моей Зорьки. Старый художник внимательно посмотрел на Зорьку. Это была самая обыкновенная девушка: широкое лицо, глаза большие, милые, но в них не было ничего особенного. «Как слепы влюблённые», — подумал он и сказал: — Может быть, ты и прав. Счастлив ты, что нашёл так близко то, что мне надо искать ещё так долго и далеко. Старый художник теперь не сомневался в своей победе. Прошёл год. Народ собрался на центральной площади города, где были выставлены две большие картины. Около одной из них стоял известный всему миру старый художник, около другой — его ученик. Сначала открыли картину старого художника. На площади стало тихо. Люди увидели прекрасную девушку, освещённую солнцем. Она смотрела на них большими глазами, ясными, как утреннее небо. Никто никогда не видел такой красоты. А когда потом люди посмотрели друг на друга, им всё показалось скучным и серым. Мужчины смотрели на своих жён, а юноши на своих невест и не понимали, как могли им нравиться эти обычные лица, эти невыразительные глаза. Старый пастух сердито посмотрел на свою старуху. Она была толстая, с красным в морщинах лицом. Он подумал: «И с этой женщиной я прожил всю жизнь!» Долго стояли люди, задумчивые игрустные, любуясь прекрасной картиной. Но вот открыли вторую картину. Люди не верили своим глазам: на картине была нарисована Зорька. Да, Зорька. Та самая, которая по утрам возвращается с рынка, неся в кор­зине рыбу и овощи, Зорька, которая днём работает в своём саду, а по вечерам доит коз. И она стояла рядом с той девушкой на картине! Люди возмутились. Все зашумели и закричали. Но вот шум стад тише. Один юноша сказал другому: — А знаешь, я раньше не замечал, что Зорька так прекрасна. И другой ответил задумчиво: — Странно, но я не могу отвести глаза. Спокойно смотрела на людей Зорька. Счастливая улыбка играла на её губах. Она вся светилась, как будто любимый неожиданно наклонился к ней и тихо сказал: «Зорька, люблю!» Люди смотрели и молчали. Они забыли, что это та самая Зорька, которая по утрам ходит на рынок, не замечали, что её лицо немного широко. Как будто солнце взошло над площадью. Каждый вспомнил лучшие минуты своей любви. Так же, как сейчас у Зорьки, светились глаза у их любимых. И старый пастух посмотрел на свою старуху и вдруг улыбнулся, вспомнив что-то. И с красного морщинистого лица улыбнулись ему знакомые милые глаза... И он первый крикнул на всю площадь: — Лавровый венок — молодому художнику!"
